Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
natural-solid-oak-coat-rack-with-shelf,Natural Solid Oak Coat Rack With Shelf,"<p>Coat Rack made from solid natural oak, with shelf and classical hooks — a perfect finishing touch to your hallway, kitchen or bathroom. Handmade to order.</p><p><strong>Dimensions:</strong><br>Height: 17cm | Depth: 10cm<br>2 Hooks – 40cm | 3 Hooks – 52cm | 4 Hooks – 64cm | 5 Hooks – 76cm | 6 Hooks – 88cm | 7 Hooks – 98cm | 8 Hooks – 110cm | 9 Hooks – 120cm | 10 Hooks – 130cm | 11 Hooks – 140cm | 12 Hooks – 150cm</p><p><strong>Includes:</strong> Fully assembled, fixings for solid wall included. Cast iron hooks.</p><p>Available in Clear, Old Oak, Dark, and Grey oil finishes. Hooks available in Black, Gold, Old Copper, Chrome, and Old Brass.</p>",Craft Wood Furniture,Coat Rack,"coat-rack, hallway, handmade, oak, shelf, wall-mounted",TRUE,Title,Default Title,CWF-natural-solid-oak-coat-rack-with-shelf,0,shopify,10,deny,manual,118.77,,TRUE,TRUE,,,Natural Solid Oak Coat Rack With Shelf,active
natural-solid-oak-coat-rack-with-shelf,Natural Solid Oak Coat Rack With Shelf,"<p>Coat Rack made from solid natural oak, with shelf and classical hooks — a perfect finishing touch to your hallway, kitchen or bathroom. Handmade to order.</p><p><strong>Dimensions:</strong><br>Height: 17cm | Depth: 10cm<br>2 Hooks – 40cm | 3 Hooks – 52cm | 4 Hooks – 64cm | 5 Hooks – 76cm | 6 Hooks – 88cm | 7 Hooks – 98cm | 8 Hooks – 110cm | 9 Hooks – 120cm | 10 Hooks – 130cm | 11 Hooks – 140cm | 12 Hooks – 150cm</p><p><strong>Includes:</strong> Fully assembled, fixings for solid wall included. Cast iron hooks.</p><p>Available in Clear, Old Oak, Dark, and Grey oil finishes. Hooks available in Black, Gold, Old Copper, Chrome, and Old Brass.</p>",Craft Wood Furniture,Coat Rack,"coat-rack, hallway, handmade, oak, shelf, wall-mounted",TRUE,Title,Default Title,CWF-natural-solid-oak-coat-rack-with-shelf,0,shopify,10,deny,manual,135.99,,TRUE,TRUE,,,Natural Solid Oak Coat Rack With Shelf,active
natural-solid-oak-coat-rack-with-shelf,Natural Solid Oak Coat Rack With Shelf,"<p>Coat Rack made from solid natural oak, with shelf and classical hooks — a perfect finishing touch to your hallway, kitchen or bathroom. Handmade to order.</p><p><strong>Dimensions:</strong><br>Height: 17cm | Depth: 10cm<br>2 Hooks – 40cm | 3 Hooks – 52cm | 4 Hooks – 64cm | 5 Hooks – 76cm | 6 Hooks – 88cm | 7 Hooks – 98cm | 8 Hooks – 110cm | 9 Hooks – 120cm | 10 Hooks – 130cm | 11 Hooks – 140cm | 12 Hooks – 150cm</p><p><strong>Includes:</strong> Fully assembled, fixings for solid wall included. Cast iron hooks.</p><p>Available in Clear, Old Oak, Dark, and Grey oil finishes. Hooks available in Black, Gold, Old Copper, Chrome, and Old Brass.</p>",Craft Wood Furniture,Coat Rack,"coat-rack, hallway, handmade, oak, shelf, wall-mounted",TRUE,Title,Default Title,CWF-natural-solid-oak-coat-rack-with-shelf,0,shopify,10,deny,manual,153.20,,TRUE,TRUE,,,Natural Solid Oak Coat Rack With Shelf,active
natural-solid-oak-coat-rack-with-shelf,Natural Solid Oak Coat Rack With Shelf,"<p>Coat Rack made from solid natural oak, with shelf and classical hooks — a perfect finishing touch to your hallway, kitchen or bathroom. Handmade to order.</p><p><strong>Dimensions:</strong><br>Height: 17cm | Depth: 10cm<br>2 Hooks – 40cm | 3 Hooks – 52cm | 4 Hooks – 64cm | 5 Hooks – 76cm | 6 Hooks – 88cm | 7 Hooks – 98cm | 8 Hooks – 110cm | 9 Hooks – 120cm | 10 Hooks – 130cm | 11 Hooks – 140cm | 12 Hooks – 150cm</p><p><strong>Includes:</strong> Fully assembled, fixings for solid wall included. Cast iron hooks.</p><p>Available in Clear, Old Oak, Dark, and Grey oil finishes. Hooks available in Black, Gold, Old Copper, Chrome, and Old Brass.</p>",Craft Wood Furniture,Coat Rack,"coat-rack, hallway, handmade, oak, shelf, wall-mounted",TRUE,Title,Default Title,CWF-natural-solid-oak-coat-rack-with-shelf,0,shopify,10,deny,manual,170.41,,TRUE,TRUE,,,Natural Solid Oak Coat Rack With Shelf,active
natural-solid-oak-coat-rack-with-shelf,Natural Solid Oak Coat Rack With Shelf,"<p>Coat Rack made from solid natural oak, with shelf and classical hooks — a perfect finishing touch to your hallway, kitchen or bathroom. Handmade to order.</p><p><strong>Dimensions:</strong><br>Height: 17cm | Depth: 10cm<br>2 Hooks – 40cm | 3 Hooks – 52cm | 4 Hooks – 64cm | 5 Hooks – 76cm | 6 Hooks – 88cm | 7 Hooks – 98cm | 8 Hooks – 110cm | 9 Hooks – 120cm | 10 Hooks – 130cm | 11 Hooks – 140cm | 12 Hooks – 150cm</p><p><strong>Includes:</strong> Fully assembled, fixings for solid wall included. Cast iron hooks.</p><p>Available in Clear, Old Oak, Dark, and Grey oil finishes. Hooks available in Black, Gold, Old Copper, Chrome, and Old Brass.</p>",Craft Wood Furniture,Coat Rack,"coat-rack, hallway, handmade, oak, shelf, wall-mounted",TRUE,Title,Default Title,CWF-natural-solid-oak-coat-rack-with-shelf,0,shopify,10,deny,manual,187.63,,TRUE,TRUE,,,Natural Solid Oak Coat Rack With Shelf,active
natural-solid-oak-coat-rack-with-shelf,Natural Solid Oak Coat Rack With Shelf,"<p>Coat Rack made from solid natural oak, with shelf and classical hooks — a perfect finishing touch to your hallway, kitchen or bathroom. Handmade to order.</p><p><strong>Dimensions:</strong><br>Height: 17cm | Depth: 10cm<br>2 Hooks – 40cm | 3 Hooks – 52cm | 4 Hooks – 64cm | 5 Hooks – 76cm | 6 Hooks – 88cm | 7 Hooks – 98cm | 8 Hooks – 110cm | 9 Hooks – 120cm | 10 Hooks – 130cm | 11 Hooks – 140cm | 12 Hooks – 150cm</p><p><strong>Includes:</strong> Fully assembled, fixings for solid wall included. Cast iron hooks.</p><p>Available in Clear, Old Oak, Dark, and Grey oil finishes. Hooks available in Black, Gold, Old Copper, Chrome, and Old Brass.</p>",Craft Wood Furniture,Coat Rack,"coat-rack, hallway, handmade, oak, shelf, wall-mounted",TRUE,Title,Default Title,CWF-natural-solid-oak-coat-rack-with-shelf,0,shopify,10,deny,manual,204.84,,TRUE,TRUE,,,Natural Solid Oak Coat Rack With Shelf,active
natural-solid-oak-coat-rack-with-shelf,Natural Solid Oak Coat Rack With Shelf,"<p>Coat Rack made from solid natural oak, with shelf and classical hooks — a perfect finishing touch to your hallway, kitchen or bathroom. Handmade to order.</p><p><strong>Dimensions:</strong><br>Height: 17cm | Depth: 10cm<br>2 Hooks – 40cm | 3 Hooks – 52cm | 4 Hooks – 64cm | 5 Hooks – 76cm | 6 Hooks – 88cm | 7 Hooks – 98cm | 8 Hooks – 110cm | 9 Hooks – 120cm | 10 Hooks – 130cm | 11 Hooks – 140cm | 12 Hooks – 150cm</p><p><strong>Includes:</strong> Fully assembled, fixings for solid wall included. Cast iron hooks.</p><p>Available in Clear, Old Oak, Dark, and Grey oil finishes. Hooks available in Black, Gold, Old Copper, Chrome, and Old Brass.</p>",Craft Wood Furniture,Coat Rack,"coat-rack, hallway, handmade, oak, shelf, wall-mounted",TRUE,Title,Default Title,CWF-natural-solid-oak-coat-rack-with-shelf,0,shopify,10,deny,manual,183.52,,TRUE,TRUE,,,Natural Solid Oak Coat Rack With Shelf,active
natural-solid-oak-coat-rack-with-shelf,Natural Solid Oak Coat Rack With Shelf,"<p>Coat Rack made from solid natural oak, with shelf and classical hooks — a perfect finishing touch to your hallway, kitchen or bathroom. Handmade to order.</p><p><strong>Dimensions:</strong><br>Height: 17cm | Depth: 10cm<br>2 Hooks – 40cm | 3 Hooks – 52cm | 4 Hooks – 64cm | 5 Hooks – 76cm | 6 Hooks – 88cm | 7 Hooks – 98cm | 8 Hooks – 110cm | 9 Hooks – 120cm | 10 Hooks – 130cm | 11 Hooks – 140cm | 12 Hooks – 150cm</p><p><strong>Includes:</strong> Fully assembled, fixings for solid wall included. Cast iron hooks.</p><p>Available in Clear, Old Oak, Dark, and Grey oil finishes. Hooks available in Black, Gold, Old Copper, Chrome, and Old Brass.</p>",Craft Wood Furniture,Coat Rack,"coat-rack, hallway, handmade, oak, shelf, wall-mounted",TRUE,Title,Default Title,CWF-natural-solid-oak-coat-rack-with-shelf,0,shopify,10,deny,manual,197.74,,TRUE,TRUE,,,Natural Solid Oak Coat Rack With Shelf,active
natural-solid-oak-coat-rack-with-shelf,Natural Solid Oak Coat Rack With Shelf,"<p>Coat Rack made from solid natural oak, with shelf and classical hooks — a perfect finishing touch to your hallway, kitchen or bathroom. Handmade to order.</p><p><strong>Dimensions:</strong><br>Height: 17cm | Depth: 10cm<br>2 Hooks – 40cm | 3 Hooks – 52cm | 4 Hooks – 64cm | 5 Hooks – 76cm | 6 Hooks – 88cm | 7 Hooks – 98cm | 8 Hooks – 110cm | 9 Hooks – 120cm | 10 Hooks – 130cm | 11 Hooks – 140cm | 12 Hooks – 150cm</p><p><strong>Includes:</strong> Fully assembled, fixings for solid wall included. Cast iron hooks.</p><p>Available in Clear, Old Oak, Dark, and Grey oil finishes. Hooks available in Black, Gold, Old Copper, Chrome, and Old Brass.</p>",Craft Wood Furniture,Coat Rack,"coat-rack, hallway, handmade, oak, shelf, wall-mounted",TRUE,Title,Default Title,CWF-natural-solid-oak-coat-rack-with-shelf,0,shopify,10,deny,manual,211.97,,TRUE,TRUE,,,Natural Solid Oak Coat Rack With Shelf,active
oak-coat-racks-set-of-2-with-and-without-shelf,Oak Coat Racks Set of 2 — With and Without Shelf,"<p>A matching set of 2 solid oak coat racks — one with a shelf, one without. Perfect for hallways, entryways, or mudrooms. Handmade to order from solid natural oak with cast iron hooks.</p><p><strong>Dimensions:</strong><br>Height: 17cm | Depth: 10cm<br>2 Hooks – 40cm | 3 Hooks – 52cm | 4 Hooks – 64cm | 5 Hooks – 76cm | 6 Hooks – 88cm | 7 Hooks – 98cm | 8 Hooks – 110cm | 9 Hooks – 120cm | 10 Hooks – 130cm | 11 Hooks – 140cm | 12 Hooks – 150cm</p><p>Available in Clear, Old Oak, Dark, and Grey oil finishes. Hooks in Black, Gold, Old Copper, Chrome, or Old Brass.</p>",Craft Wood Furniture,Coat Rack,"coat-rack, hallway, handmade, oak, set, wall-mounted",TRUE,Title,Default Title,CWF-oak-coat-racks-set-of-2-with-and-without-shelf,0,shopify,10,deny,manual,139.43,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/1027/1342/6262/files/coat-rack-set-1.jpg?v=1778503957,1,Oak Coat Rack Set,active
oak-coat-racks-set-of-2-with-and-without-shelf,Oak Coat Racks Set of 2 — With and Without Shelf,"<p>A matching set of 2 solid oak coat racks — one with a shelf, one without. Perfect for hallways, entryways, or mudrooms. Handmade to order from solid natural oak with cast iron hooks.</p><p><strong>Dimensions:</strong><br>Height: 17cm | Depth: 10cm<br>2 Hooks – 40cm | 3 Hooks – 52cm | 4 Hooks – 64cm | 5 Hooks – 76cm | 6 Hooks – 88cm | 7 Hooks – 98cm | 8 Hooks – 110cm | 9 Hooks – 120cm | 10 Hooks – 130cm | 11 Hooks – 140cm | 12 Hooks – 150cm</p><p>Available in Clear, Old Oak, Dark, and Grey oil finishes. Hooks in Black, Gold, Old Copper, Chrome, or Old Brass.</p>",Craft Wood Furniture,Coat Rack,"coat-rack, hallway, handmade, oak, set, wall-mounted",TRUE,Title,Default Title,CWF-oak-coat-racks-set-of-2-with-and-without-shelf,0,shopify,10,deny,manual,161.81,,TRUE,TRUE,,,Oak Coat Racks Set of 2 — With and Without Shelf,active
oak-coat-racks-set-of-2-with-and-without-shelf,Oak Coat Racks Set of 2 — With and Without Shelf,"<p>A matching set of 2 solid oak coat racks — one with a shelf, one without. Perfect for hallways, entryways, or mudrooms. Handmade to order from solid natural oak with cast iron hooks.</p><p><strong>Dimensions:</strong><br>Height: 17cm | Depth: 10cm<br>2 Hooks – 40cm | 3 Hooks – 52cm | 4 Hooks – 64cm | 5 Hooks – 76cm | 6 Hooks – 88cm | 7 Hooks – 98cm | 8 Hooks – 110cm | 9 Hooks – 120cm | 10 Hooks – 130cm | 11 Hooks – 140cm | 12 Hooks – 150cm</p><p>Available in Clear, Old Oak, Dark, and Grey oil finishes. Hooks in Black, Gold, Old Copper, Chrome, or Old Brass.</p>",Craft Wood Furniture,Coat Rack,"coat-rack, hallway, handmade, oak, set, wall-mounted",TRUE,Title,Default Title,CWF-oak-coat-racks-set-of-2-with-and-without-shelf,0,shopify,10,deny,manual,175.58,,TRUE,TRUE,,,Oak Coat Racks Set of 2 — With and Without Shelf,active
oak-coat-racks-set-of-2-with-and-without-shelf,Oak Coat Racks Set of 2 — With and Without Shelf,"<p>A matching set of 2 solid oak coat racks — one with a shelf, one without. Perfect for hallways, entryways, or mudrooms. Handmade to order from solid natural oak with cast iron hooks.</p><p><strong>Dimensions:</strong><br>Height: 17cm | Depth: 10cm<br>2 Hooks – 40cm | 3 Hooks – 52cm | 4 Hooks – 64cm | 5 Hooks – 76cm | 6 Hooks – 88cm | 7 Hooks – 98cm | 8 Hooks – 110cm | 9 Hooks – 120cm | 10 Hooks – 130cm | 11 Hooks – 140cm | 12 Hooks – 150cm</p><p>Available in Clear, Old Oak, Dark, and Grey oil finishes. Hooks in Black, Gold, Old Copper, Chrome, or Old Brass.</p>",Craft Wood Furniture,Coat Rack,"coat-rack, hallway, handmade, oak, set, wall-mounted",TRUE,Title,Default Title,CWF-oak-coat-racks-set-of-2-with-and-without-shelf,0,shopify,10,deny,manual,196.24,,TRUE,TRUE,,,Oak Coat Racks Set of 2 — With and Without Shelf,active
oak-coat-racks-set-of-2-with-and-without-shelf,Oak Coat Racks Set of 2 — With and Without Shelf,"<p>A matching set of 2 solid oak coat racks — one with a shelf, one without. Perfect for hallways, entryways, or mudrooms. Handmade to order from solid natural oak with cast iron hooks.</p><p><strong>Dimensions:</strong><br>Height: 17cm | Depth: 10cm<br>2 Hooks – 40cm | 3 Hooks – 52cm | 4 Hooks – 64cm | 5 Hooks – 76cm | 6 Hooks – 88cm | 7 Hooks – 98cm | 8 Hooks – 110cm | 9 Hooks – 120cm | 10 Hooks – 130cm | 11 Hooks – 140cm | 12 Hooks – 150cm</p><p>Available in Clear, Old Oak, Dark, and Grey oil finishes. Hooks in Black, Gold, Old Copper, Chrome, or Old Brass.</p>",Craft Wood Furniture,Coat Rack,"coat-rack, hallway, handmade, oak, set, wall-mounted",TRUE,Title,Default Title,CWF-oak-coat-racks-set-of-2-with-and-without-shelf,0,shopify,10,deny,manual,210.01,,TRUE,TRUE,,,Oak Coat Racks Set of 2 — With and Without Shelf,active
oak-coat-racks-set-of-2-with-and-without-shelf,Oak Coat Racks Set of 2 — With and Without Shelf,"<p>A matching set of 2 solid oak coat racks — one with a shelf, one without. Perfect for hallways, entryways, or mudrooms. Handmade to order from solid natural oak with cast iron hooks.</p><p><strong>Dimensions:</strong><br>Height: 17cm | Depth: 10cm<br>2 Hooks – 40cm | 3 Hooks – 52cm | 4 Hooks – 64cm | 5 Hooks – 76cm | 6 Hooks – 88cm | 7 Hooks – 98cm | 8 Hooks – 110cm | 9 Hooks – 120cm | 10 Hooks – 130cm | 11 Hooks – 140cm | 12 Hooks – 150cm</p><p>Available in Clear, Old Oak, Dark, and Grey oil finishes. Hooks in Black, Gold, Old Copper, Chrome, or Old Brass.</p>",Craft Wood Furniture,Coat Rack,"coat-rack, hallway, handmade, oak, set, wall-mounted",TRUE,Title,Default Title,CWF-oak-coat-racks-set-of-2-with-and-without-shelf,0,shopify,10,deny,manual,190.63,,TRUE,TRUE,,,Oak Coat Racks Set of 2 — With and Without Shelf,active
oak-coat-racks-set-of-2-with-and-without-shelf,Oak Coat Racks Set of 2 — With and Without Shelf,"<p>A matching set of 2 solid oak coat racks — one with a shelf, one without. Perfect for hallways, entryways, or mudrooms. Handmade to order from solid natural oak with cast iron hooks.</p><p><strong>Dimensions:</strong><br>Height: 17cm | Depth: 10cm<br>2 Hooks – 40cm | 3 Hooks – 52cm | 4 Hooks – 64cm | 5 Hooks – 76cm | 6 Hooks – 88cm | 7 Hooks – 98cm | 8 Hooks – 110cm | 9 Hooks – 120cm | 10 Hooks – 130cm | 11 Hooks – 140cm | 12 Hooks – 150cm</p><p>Available in Clear, Old Oak, Dark, and Grey oil finishes. Hooks in Black, Gold, Old Copper, Chrome, or Old Brass.</p>",Craft Wood Furniture,Coat Rack,"coat-rack, hallway, handmade, oak, set, wall-mounted",TRUE,Title,Default Title,CWF-oak-coat-racks-set-of-2-with-and-without-shelf,0,shopify,10,deny,manual,204.86,,TRUE,TRUE,,,Oak Coat Racks Set of 2 — With and Without Shelf,active
oak-coat-racks-set-of-2-with-and-without-shelf,Oak Coat Racks Set of 2 — With and Without Shelf,"<p>A matching set of 2 solid oak coat racks — one with a shelf, one without. Perfect for hallways, entryways, or mudrooms. Handmade to order from solid natural oak with cast iron hooks.</p><p><strong>Dimensions:</strong><br>Height: 17cm | Depth: 10cm<br>2 Hooks – 40cm | 3 Hooks – 52cm | 4 Hooks – 64cm | 5 Hooks – 76cm | 6 Hooks – 88cm | 7 Hooks – 98cm | 8 Hooks – 110cm | 9 Hooks – 120cm | 10 Hooks – 130cm | 11 Hooks – 140cm | 12 Hooks – 150cm</p><p>Available in Clear, Old Oak, Dark, and Grey oil finishes. Hooks in Black, Gold, Old Copper, Chrome, or Old Brass.</p>",Craft Wood Furniture,Coat Rack,"coat-rack, hallway, handmade, oak, set, wall-mounted",TRUE,Title,Default Title,CWF-oak-coat-racks-set-of-2-with-and-without-shelf,0,shopify,10,deny,manual,219.08,,TRUE,TRUE,,,Oak Coat Racks Set of 2 — With and Without Shelf,active
oak-coat-racks-set-of-2-with-and-without-shelf,Oak Coat Racks Set of 2 — With and Without Shelf,"<p>A matching set of 2 solid oak coat racks — one with a shelf, one without. Perfect for hallways, entryways, or mudrooms. Handmade to order from solid natural oak with cast iron hooks.</p><p><strong>Dimensions:</strong><br>Height: 17cm | Depth: 10cm<br>2 Hooks – 40cm | 3 Hooks – 52cm | 4 Hooks – 64cm | 5 Hooks – 76cm | 6 Hooks – 88cm | 7 Hooks – 98cm | 8 Hooks – 110cm | 9 Hooks – 120cm | 10 Hooks – 130cm | 11 Hooks – 140cm | 12 Hooks – 150cm</p><p>Available in Clear, Old Oak, Dark, and Grey oil finishes. Hooks in Black, Gold, Old Copper, Chrome, or Old Brass.</p>",Craft Wood Furniture,Coat Rack,"coat-rack, hallway, handmade, oak, set, wall-mounted",TRUE,Title,Default Title,CWF-oak-coat-racks-set-of-2-with-and-without-shelf,0,shopify,10,deny,manual,233.31,,TRUE,TRUE,,,Oak Coat Racks Set of 2 — With and Without Shelf,active
